"Notes:"
"2024/02/23
Standard Data ver 1
Vacuum pressure 3.29e-2 torr
Simulate leak testing on index set 75
the other 100? 150? 200?
minimum 50?"
""
"Data:"
"Time(Seconds)","O2 mV","ppm O2","Pressure(mbar)","Temp(None)","","Rapidox Time","Rapidox Date","Status"
"0","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:35","2024/2/23","L  ",""
"1","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:36","2024/2/23","L  ",""
"2","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:37","2024/2/23","L  ",""
"3","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:38","2024/2/23","L  ",""
"4","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:39","2024/2/23","L  ",""
"5","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:40","2024/2/23","L  ",""
"6","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:41","2024/2/23","L  ",""
"7","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:42","2024/2/23","L  ",""
"8","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:43","2024/2/23","L  ",""
"9","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:44","2024/2/23","L  ",""
"10","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:45","2024/2/23","L  ",""
"11","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:46","2024/2/23","L  ",""
"12","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:47","2024/2/23","L  ",""
"13","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:48","2024/2/23","L  ",""
"14","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:49","2024/2/23","L  ",""
"15","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:50","2024/2/23","L  ",""
"16","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:51","2024/2/23","L  ",""
"17","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:52","2024/2/23","L  ",""
"18","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:53","2024/2/23","L  ",""
"19","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:54","2024/2/23","L  ",""
"20","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:55","2024/2/23","L  ",""
"21","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:56","2024/2/23","L  ",""
"22","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:57","2024/2/23","L  ",""
"23","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:58","2024/2/23","L  ",""
"24","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:40:59","2024/2/23","L  ",""
"25","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:00","2024/2/23","L  ",""
"26","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:01","2024/2/23","L  ",""
"27","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:02","2024/2/23","L  ",""
"28","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:03","2024/2/23","L  ",""
"29","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:04","2024/2/23","L  ",""
"30","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:05","2024/2/23","L  ",""
"31","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:06","2024/2/23","L  ",""
"32","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:07","2024/2/23","L  ",""
"33","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:08","2024/2/23","L  ",""
"34","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:09","2024/2/23","L  ",""
"35","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:10","2024/2/23","L  ",""
"36","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:11","2024/2/23","L  ",""
"37","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:12","2024/2/23","L  ",""
"38","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:13","2024/2/23","L  ",""
"39","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:14","2024/2/23","L  ",""
"40","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:15","2024/2/23","L  ",""
"41","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:16","2024/2/23","L  ",""
"42","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:17","2024/2/23","L  ",""
"43","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:18","2024/2/23","L  ",""
"44","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:19","2024/2/23","L  ",""
"45","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:20","2024/2/23","L  ",""
"46","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:21","2024/2/23","L  ",""
"47","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:22","2024/2/23","L  ",""
"48","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:23","2024/2/23","L  ",""
"49","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:24","2024/2/23","L  ",""
"50","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:25","2024/2/23","L  ",""
"51","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:26","2024/2/23","L  ",""
"52","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:27","2024/2/23","L  ",""
"53","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:28","2024/2/23","L  ",""
"54","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:29","2024/2/23","L  ",""
"55","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:30","2024/2/23","L  ",""
"56","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:31","2024/2/23","L  ",""
"57","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:32","2024/2/23","L  ",""
"58","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:33","2024/2/23","L  ",""
"59","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:34","2024/2/23","L  ",""
"60","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:35","2024/2/23","L  ",""
"61","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:36","2024/2/23","L  ",""
"62","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:37","2024/2/23","L  ",""
"63","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:38","2024/2/23","L  ",""
"64","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:39","2024/2/23","L  ",""
"65","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:40","2024/2/23","L  ",""
"66","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:41","2024/2/23","L  ",""
"67","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:42","2024/2/23","L  ",""
"68","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:43","2024/2/23","L  ",""
"69","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:44","2024/2/23","L  ",""
"70","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:45","2024/2/23","L  ",""
"71","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:46","2024/2/23","L  ",""
